Airline,Airline_ID,Source_Airport,Source_Airport_ID,Destination_Airport,Destination_Airport_ID,Codeshare,Stops,Equipment,IATA_Source,Latitude_Source,Longitude_Source,IATA_Destination,Latitude_Destination,Longitude_Destination,Airport_Name,IATA_x,Latitude,Longitude,IATA_y,ISO_Country_Source,Scheduled_Service_Source,IATA,ISO_Country_Destination,Scheduled_Service_Destination
NZ,345,ZQN,2030,AKL,2006,,0,320,ZQN,-45.021099,168.738998,AKL,-37.01199,174.786331,Queenstown International Airport,ZQN,-45.021099,168.738998,ZQN,NZ,yes,AKL,NZ,yes
NZ,345,ZQN,2030,CHC,2009,,0,320,ZQN,-45.021099,168.738998,CHC,-43.48939895629883,172.53199768066406,Queenstown International Airport,ZQN,-45.021099,168.738998,ZQN,NZ,yes,CHC,NZ,yes
NZ,345,ZQN,2030,WLG,2042,Y,0,AT7,ZQN,-45.021099,168.738998,WLG,-41.3272018433,174.804992676,Queenstown International Airport,ZQN,-45.021099,168.738998,ZQN,NZ,yes,WLG,NZ,yes
OZ,28,AKL,2006,NRT,2279,,0,772,AKL,-37.01199,174.786331,NRT,35.764702,140.386002,Auckland International Airport,AKL,-37.01199,174.786331,AKL,NZ,yes,NRT,JP,yes
OZ,28,NRT,2279,AKL,2006,,0,772,NRT,35.764702,140.386002,AKL,-37.01199,174.786331,Narita International Airport,NRT,35.764702,140.386002,NRT,JP,yes,AKL,NZ,yes
QF,4089,AKL,2006,BNE,3320,Y,0,73H 388,AKL,-37.01199,174.786331,BNE,-27.384199142456055,153.11700439453125,Auckland International Airport,AKL,-37.01199,174.786331,AKL,NZ,yes,BNE,AU,yes
QF,4089,AKL,2006,MEL,3339,,0,73H,AKL,-37.01199,174.786331,MEL,-37.673302,144.843002,Auckland International Airport,AKL,-37.01199,174.786331,AKL,NZ,yes,MEL,AU,yes
QF,4089,AKL,2006,NAN,1960,Y,0,73W 73H 332,AKL,-37.01199,174.786331,NAN,-17.755399703979492,177.4429931640625,Auckland International Airport,AKL,-37.01199,174.786331,AKL,NZ,yes,NAN,FJ,yes
QF,4089,AKL,2006,PPT,4075,,0,343,AKL,-37.01199,174.786331,PPT,-17.553699,-149.606995,Auckland International Airport,AKL,-37.01199,174.786331,AKL,NZ,yes,PPT,PF,yes
QF,4089,AKL,2006,SCL,2650,Y,0,343,AKL,-37.01199,174.786331,SCL,-33.393001556396484,-70.78579711914062,Auckland International Airport,AKL,-37.01199,174.786331,AKL,NZ,yes,SCL,CL,yes
QF,4089,AKL,2006,SYD,3361,,0,73H,AKL,-37.01199,174.786331,SYD,-33.94609832763672,151.177001953125,Auckland International Airport,AKL,-37.01199,174.786331,AKL,NZ,yes,SYD,AU,yes
QF,4089,BNE,3320,AKL,2006,Y,0,388 73H,BNE,-27.384199142456055,153.11700439453125,AKL,-37.01199,174.786331,Brisbane International Airport,BNE,-27.384199142456055,153.11700439453125,BNE,AU,yes,AKL,NZ,yes
QF,4089,CHC,2009,SYD,3361,Y,0,73H 77W,CHC,-43.48939895629883,172.53199768066406,SYD,-33.94609832763672,151.177001953125,Christchurch International Airport,CHC,-43.48939895629883,172.53199768066406,CHC,NZ,yes,SYD,AU,yes
QF,4089,MEL,3339,AKL,2006,,0,73H,MEL,-37.673302,144.843002,AKL,-37.01199,174.786331,Melbourne International Airport,MEL,-37.673302,144.843002,MEL,AU,yes,AKL,NZ,yes
QF,4089,MEL,3339,WLG,2042,,0,73H,MEL,-37.673302,144.843002,WLG,-41.3272018433,174.804992676,Melbourne International Airport,MEL,-37.673302,144.843002,MEL,AU,yes,WLG,NZ,yes
